"Y" "X1" "X2" "X3" "X4" "X5"
5.6 11.48 20.3 252 207 251
5.7 11.2 34.5 180 134 151
4.3 9.89 11.8 190 141 112
2.9 8.86 9.5 100 65 53
3.5 7.94 6.2 195 139 116
5.5 11.08 18.6 387 326 405
5.7 11.18 18.8 595 546 392
3.7 7.58 20.8 97 59 79
3.5 8.03 24.3 97 65 55
4.4 9.66 9.9 83 66 95
5.1 10.3 27.8 175 113 73
4.7 10.72 23.2 113 90 107
4.8 10.24 36.3 195 163 170
4.4 11.65 18.6 248 217 189
4.2 9.06 6.9 134 103 125
5.7 11.8 9.1 571 441 469
4.5 8.28 26 108 84 73
3.1 8.63 8.4 76 39 44
3 11.2 7 130 95 56
4.1 9.05 20.5 195 127 112
4.2 9 14.6 72 61 38
2.6 9.76 6.9 64 47 55
2.7 8.34 8.1 107 82 54
4.9 11.07 28.5 768 591 656
4.8 9.36 18.3 165 127 158
7.7 12.78 46 322 252 349
5.2 9.53 15 298 241 193
4.2 8.88 10.1 305 238 197
4.2 7.53 23.1 95 47 49
5.5 8.37 15.1 115 96 88
1.8 7.67 2.5 106 93 35
6.1 13.59 24.2 312 258 169
5 10.33 21.2 266 181 149
4.5 6.7 13 76 51 79
4.3 9.42 24.8 508 421 528
4.6 10.16 8.4 831 581 629
5 7.78 20.9 489 391 329
5.8 11.41 23.8 424 359 335
3.7 8.48 12.1 166 145 118
4.3 7.65 16.4 318 265 314
4.5 9.31 30.2 170 124 173
3.8 8.66 6.8 246 178 177
2.3 7.95 4.6 163 128 93
3.7 7.14 2.6 70 37 35
5.1 9.76 21.9 150 147 106
5.3 8.15 12.3 99 55 71
4.5 10.05 36.7 184 144 151
4.3 8.3 6.8 167 105 59
7.6 11.41 16.6 535 330 273
2.8 9.97 16.5 90 69 42
4.6 9.68 16.7 186 151 129
2 7.08 12.3 87 52 57
5.9 17.94 26.4 835 791 407
6.5 19.56 17.2 306 273 172
4.4 10.02 8.3 265 191 202
6.4 11.62 25.5 133 113 101
5.6 8.95 18.9 147 53 148
4.3 8.67 24.4 182 130 118
4 9.2 17.5 298 244 236
2.7 7.14 13.1 92 40 50
3.2 8.19 10.8 176 156 88
4.1 7.13 9 279 207 241
1.7 8.09 7.6 92 61 61
5.5 10.9 10.6 593 446 211
4.5 9.61 6.9 487 404 220
4.8 9.84 12 600 468 497
