"Y" "X1" "X2" "X3" "X4" "X5"
3.5 7.94 6.2 195 139 116
7.6 11.41 16.6 535 330 273
3.5 8.03 24.3 97 65 55
2 8.93 6.2 95 59 56
4.4 10.02 8.3 265 191 202
4.9 11.07 28.5 768 591 656
5.5 7.63 11.6 197 109 110
5.8 11.41 23.8 424 359 335
4.9 10.23 9.9 752 595 446
2.3 7.95 4.6 163 128 93
5.2 9.53 15 298 241 193
4.4 7.7 12.2 129 85 136
4.8 9.84 12 600 468 497
2.9 10.8 1.6 130 69 62
4.7 10.72 23.2 113 90 107
5.5 10.9 10.6 593 446 211
4.4 9.66 9.9 83 66 95
5.7 11.8 9.1 571 441 469
2.9 8.86 9.5 100 65 53
5.8 9.5 42 98 68 46
5 10.33 21.2 266 181 149
6.3 8.84 29.6 85 59 66
4.2 7.39 14.6 72 38 67
4.5 9.44 10.9 297 230 263
5.3 9.77 15.7 154 123 148
3.1 8.63 8.4 76 39 44
3.4 10.42 8 119 67 64
2.7 8.34 8.1 107 82 54
3.7 8.48 12.1 166 145 118
4.8 9.36 18.3 165 127 158
4.5 10.05 36.7 184 144 151
2.1 8.02 3.8 91 44 32
2.8 9.97 16.5 90 69 42
5.4 7.93 7.5 68 42 49
5 7.78 20.9 489 391 329
3.2 8.19 10.8 176 156 88
2.9 8.9 12.7 52 37 35
4.1 7.13 9 279 207 241
3 11.2 7 130 95 56
5.7 11.2 34.5 180 134 151
7.8 12.07 52.4 157 115 76
6.1 13.59 24.2 312 258 169
4.5 8.28 26 108 84 73
1.8 7.67 2.5 106 93 35
4.1 9.35 15.9 833 547 519
4.6 9.68 16.7 186 151 129
3.9 10.73 19.3 445 374 345
4.6 7.84 7.1 60 50 45
3.1 9.41 20.6 29 20 22
5 11.03 19.7 318 270 335
4.5 9.61 6.9 487 404 220
4.3 8.67 24.4 182 130 118
5.7 11.18 18.8 595 546 392
2.7 7.14 13.1 92 40 50
6.3 9.74 11.4 221 170 172
4.2 9 14.6 72 61 38
1.7 8.09 7.6 92 61 61
5.3 11.77 17.3 196 164 165
2.9 10.79 2.6 461 320 196
4.6 10.16 8.4 831 581 629
4.2 7.53 23.1 95 47 49
4.3 9.89 11.8 190 141 112
5.3 8.15 12.3 99 55 71
5.4 11.18 60.5 640 399 360
4 9.2 17.5 298 244 236
4.2 9.06 6.9 134 103 125
5.2 9.84 17.7 210 200 239
4.4 11.65 18.6 248 217 189
4.9 9.89 17.7 167 113 106
5.6 8.95 18.9 147 53 148
2.9 7.91 11.9 477 349 188
4.1 9.05 20.5 195 127 112
