"Y" "X1" "X2" "X3" "X4" "X5"
4.3 8.67 24.4 182 130 118
5.2 9.84 17.7 210 200 239
2.9 10.8 1.6 130 69 62
1.8 7.67 2.5 106 93 35
4.3 8.3 6.8 167 105 59
4.4 8.88 14.1 237 165 182
2.9 10.79 2.6 461 320 196
2.6 9.76 6.9 64 47 55
5.1 9.76 21.9 150 147 106
2.7 8.34 8.1 107 82 54
5.3 9.77 15.7 154 123 148
4.3 7.65 16.4 318 265 314
4.2 8.88 10.1 305 238 197
4.9 11.07 28.5 768 591 656
6.5 19.56 17.2 306 273 172
7.6 11.41 16.6 535 330 273
5 10.33 21.2 266 181 149
3.5 7.94 6.2 195 139 116
2.9 7.91 11.9 477 349 188
2.1 8.02 3.8 91 44 32
4.2 9 14.6 72 61 38
5.3 11.77 17.3 196 164 165
5.9 17.94 26.4 835 791 407
5.5 7.63 11.6 197 109 110
2 8.93 6.2 95 59 56
4.6 10.16 8.4 831 581 629
2.8 9.97 16.5 90 69 42
7.8 12.07 52.4 157 115 76
3.7 8.58 7.4 304 248 218
5.4 11.18 60.5 640 399 360
4.3 9.42 24.8 508 421 528
4.5 8.28 26 108 84 73
4.3 9.23 11.6 620 413 420
1.3 8.16 1.9 73 49 21
4.1 9.35 15.9 833 547 519
5.3 8.15 12.3 99 55 71
6.2 10.15 16.4 568 452 371
1.3 8.92 2.2 56 40 14
1.7 8.09 7.6 92 61 61
5.7 11.18 18.8 595 546 392
3.7 8.48 12.1 166 145 118
5 7.78 20.9 489 391 329
3.2 8.19 10.8 176 156 88
4 9.2 17.5 298 244 236
3 11.2 7 130 95 56
2.9 8.9 12.7 52 37 35
1.6 8.82 3.8 80 51 52
2.7 7.14 13.1 92 40 50
3.7 7.14 2.6 70 37 35
4.3 10.39 14 353 223 200
4.6 9.68 16.7 186 151 129
2.3 7.95 4.6 163 128 93
4.8 10.24 36.3 195 163 170
3.9 8.28 12 546 413 436
4.8 9.36 18.3 165 127 158
3.4 10.42 8 119 67 64
4.7 8.77 5.2 143 85 87
5.1 10.3 27.8 175 113 73
6.1 13.59 24.2 312 258 169
4.8 12.01 10.8 298 237 115
4.7 10.72 23.2 113 90 107
5.6 11.48 20.3 252 207 251
6.3 8.84 29.6 85 59 66
3.8 8.66 6.8 246 178 177
4.4 9.66 9.9 83 66 95
3.1 8.63 8.4 76 39 44
5.8 9.5 42 98 68 46
4.6 7.84 7.1 60 50 45
4.5 9.61 6.9 487 404 220
3.7 7.58 20.8 97 59 79
4.2 7.53 23.1 95 47 49
4.3 9.89 11.8 190 141 112
