"Y" "X1" "X2" "X3" "X4" "X5"
3.4 10.42 8 119 67 64
3.7 7.14 2.6 70 37 35
6.5 19.56 17.2 306 273 172
4 9.2 17.5 298 244 236
4.9 10.23 9.9 752 595 446
4.7 10.72 23.2 113 90 107
5.6 10.12 14.9 362 313 264
2.9 8.86 9.5 100 65 53
3.7 8.48 12.1 166 145 118
5.6 8.95 18.9 147 53 148
6.3 8.84 29.6 85 59 66
1.4 7.14 4.1 115 90 19
1.8 7.67 2.5 106 93 35
3.7 7.58 20.8 97 59 79
4.4 8.88 14.1 237 165 182
5.3 9.77 15.7 154 123 148
2.8 9.97 16.5 90 69 42
2.5 8.54 27 98 57 75
4.8 10.24 36.3 195 163 170
5.3 8.15 12.3 99 55 71
4.2 7.53 23.1 95 47 49
2 7.08 12.3 87 52 57
6.3 9.74 11.4 221 170 172
2.9 7.91 11.9 477 349 188
1.3 8.92 2.2 56 40 14
4.2 9 14.6 72 61 38
3.2 8.19 10.8 176 156 88
4.4 10.02 8.3 265 191 202
6.1 13.59 24.2 312 258 169
4.5 8.28 26 108 84 73
3.7 8.58 7.4 304 248 218
5.4 11.18 60.5 640 399 360
6.2 10.15 16.4 568 452 371
4.3 7.65 16.4 318 265 314
4.1 9.05 20.5 195 127 112
5.9 17.94 26.4 835 791 407
3.9 10.73 19.3 445 374 345
4.6 7.84 7.1 60 50 45
5.7 11.2 34.5 180 134 151
3.9 8.28 12 546 413 436
3.1 8.63 8.4 76 39 44
4.3 8.3 6.8 167 105 59
2.7 8.34 8.1 107 82 54
1.3 8.16 1.9 73 49 21
4.4 11.65 18.6 248 217 189
2.3 7.95 4.6 163 128 93
5 9.78 17.6 270 240 198
4.1 10.47 5.7 196 168 153
4.5 11.46 15.6 191 153 132
5.1 10.3 27.8 175 113 73
4.4 7.7 12.2 129 85 136
5.6 11.48 20.3 252 207 251
3.5 8.03 24.3 97 65 55
4.6 10.16 8.4 831 581 629
5.1 9.76 21.9 150 147 106
3.9 11.15 7.7 281 217 199
2.6 9.76 6.9 64 47 55
5 7.78 20.9 489 391 329
4.5 9.31 30.2 170 124 173
2 8.93 6.2 95 59 56
2.7 7.14 13.1 92 40 50
5.8 9.5 42 98 68 46
2.9 8.9 12.7 52 37 35
5.3 11.77 17.3 196 164 165
4.3 10.39 14 353 223 200
1.6 8.82 3.8 80 51 52
5 11.03 19.7 318 270 335
4.3 8.67 24.4 182 130 118
4.8 9.84 12 600 468 497
2.1 8.02 3.8 91 44 32
