"Y" "X1" "X2" "X3" "X4" "X5"
5.1 10.3 27.8 175 113 73
2.9 8.9 12.7 52 37 35
2.6 9.76 6.9 64 47 55
7.7 12.78 46 322 252 349
5.4 7.93 7.5 68 42 49
1.3 8.16 1.9 73 49 21
4.6 7.84 7.1 60 50 45
4.9 9.89 17.7 167 113 106
4.9 10.23 9.9 752 595 446
4.5 8.28 26 108 84 73
7.8 12.07 52.4 157 115 76
5 10.33 21.2 266 181 149
5.4 11.18 60.5 640 399 360
5.3 11.77 17.3 196 164 165
3.7 7.14 2.6 70 37 35
4.1 7.13 9 279 207 241
2 8.93 6.2 95 59 56
4.4 10.02 8.3 265 191 202
1.7 8.09 7.6 92 61 61
4.1 9.05 20.5 195 127 112
2.9 7.91 11.9 477 349 188
3 11.2 7 130 95 56
5.5 11.08 18.6 387 326 405
4.8 12.01 10.8 298 237 115
4.3 8.3 6.8 167 105 59
2.5 8.54 27 98 57 75
4.2 8.88 10.1 305 238 197
4.8 9.84 12 600 468 497
4.3 9.89 11.8 190 141 112
5.8 9.5 42 98 68 46
3.4 10.42 8 119 67 64
5.5 8.37 15.1 115 96 88
4.3 10.39 14 353 223 200
6.6 13.95 15.6 356 308 182
5.1 9.76 21.9 150 147 106
6.3 8.84 29.6 85 59 66
4.8 9.36 18.3 165 127 158
5.7 11.2 34.5 180 134 151
4.5 9.61 6.9 487 404 220
4.4 7.7 12.2 129 85 136
4.5 6.7 13 76 51 79
4.2 7.39 14.6 72 38 67
4.3 8.67 24.4 182 130 118
3.1 8.63 8.4 76 39 44
3.7 7.58 20.8 97 59 79
5.2 9.84 17.7 210 200 239
4.8 10.24 36.3 195 163 170
2.9 10.79 2.6 461 320 196
2.7 7.14 13.1 92 40 50
5.2 9.53 15 298 241 193
3.9 11.15 7.7 281 217 199
5.9 17.94 26.4 835 791 407
4.5 11.46 15.6 191 153 132
5.7 11.18 18.8 595 546 392
4 9.2 17.5 298 244 236
4.3 7.65 16.4 318 265 314
4.3 9.42 24.8 508 421 528
5.5 7.63 11.6 197 109 110
2.8 9.97 16.5 90 69 42
3.9 8.28 12 546 413 436
4.2 9.06 6.9 134 103 125
4.4 8.88 14.1 237 165 182
6.3 9.74 11.4 221 170 172
6.1 13.59 24.2 312 258 169
6.2 10.15 16.4 568 452 371
