"Y" "X1" "X2" "X3" "X4" "X5"
4.5 9.61 6.9 487 404 220
5.2 9.84 17.7 210 200 239
4.5 9.31 30.2 170 124 173
6.3 9.74 11.4 221 170 172
4.2 9 14.6 72 61 38
3.7 8.48 12.1 166 145 118
3.9 11.15 7.7 281 217 199
1.6 8.82 3.8 80 51 52
3 11.2 7 130 95 56
4.3 8.67 24.4 182 130 118
5.5 7.63 11.6 197 109 110
4.2 9.06 6.9 134 103 125
1.3 8.16 1.9 73 49 21
5.3 11.77 17.3 196 164 165
2 8.93 6.2 95 59 56
4.8 12.01 10.8 298 237 115
1.8 7.67 2.5 106 93 35
5.4 11.18 60.5 640 399 360
2.3 7.95 4.6 163 128 93
1.3 8.92 2.2 56 40 14
2.7 7.14 13.1 92 40 50
1.7 8.09 7.6 92 61 61
4.1 9.35 15.9 833 547 519
4.5 6.7 13 76 51 79
2.9 8.9 12.7 52 37 35
3.9 10.73 19.3 445 374 345
4.1 9.05 20.5 195 127 112
4.5 9.44 10.9 297 230 263
4.9 11.07 28.5 768 591 656
5.5 10.9 10.6 593 446 211
4.3 9.89 11.8 190 141 112
5.6 8.95 18.9 147 53 148
5.3 8.15 12.3 99 55 71
4.5 10.05 36.7 184 144 151
6.3 8.84 29.6 85 59 66
5.7 11.18 18.8 595 546 392
5.6 10.12 14.9 362 313 264
4.6 10.16 8.4 831 581 629
3.8 8.66 6.8 246 178 177
4.2 8.88 10.1 305 238 197
4.7 8.77 5.2 143 85 87
5.9 17.94 26.4 835 791 407
3.7 7.14 2.6 70 37 35
3.4 8.45 12.9 235 143 124
5.1 10.3 27.8 175 113 73
4.9 10.23 9.9 752 595 446
5.7 11.2 34.5 180 134 151
3.5 8.03 24.3 97 65 55
5.1 9.76 21.9 150 147 106
2 7.08 12.3 87 52 57
4.3 9.23 11.6 620 413 420
6.1 13.59 24.2 312 258 169
5 9.78 17.6 270 240 198
4.4 10.02 8.3 265 191 202
4.2 7.53 23.1 95 47 49
4.3 10.39 14 353 223 200
4.3 9.42 24.8 508 421 528
3.7 8.58 7.4 304 248 218
2.5 8.54 27 98 57 75
5.4 7.93 7.5 68 42 49
2.6 9.76 6.9 64 47 55
5.5 11.08 18.6 387 326 405
5 11.03 19.7 318 270 335
3.2 8.19 10.8 176 156 88
7.6 11.41 16.6 535 330 273
2.8 9.97 16.5 90 69 42
4 9.2 17.5 298 244 236
2.9 7.91 11.9 477 349 188
6.2 10.15 16.4 568 452 371
2.1 8.02 3.8 91 44 32
