"Y" "X1" "X2" "X3" "X4" "X5"
5.6 11.48 20.3 252 207 251
6.1 13.59 24.2 312 258 169
7.6 11.41 16.6 535 330 273
1.8 7.67 2.5 106 93 35
4.1 9.35 15.9 833 547 519
2.8 9.97 16.5 90 69 42
4.4 9.66 9.9 83 66 95
2.3 7.95 4.6 163 128 93
5.2 9.84 17.7 210 200 239
5.3 11.77 17.3 196 164 165
4.2 9.06 6.9 134 103 125
5.8 9.5 42 98 68 46
4.7 10.72 23.2 113 90 107
5.5 7.63 11.6 197 109 110
5.1 9.76 21.9 150 147 106
5.7 11.18 18.8 595 546 392
3.9 8.28 12 546 413 436
4.2 7.53 23.1 95 47 49
4.6 9.68 16.7 186 151 129
4.3 8.67 24.4 182 130 118
5 11.03 19.7 318 270 335
4.1 10.47 5.7 196 168 153
3.4 8.45 12.9 235 143 124
5.9 17.94 26.4 835 791 407
5.8 11.41 23.8 424 359 335
5.5 10.9 10.6 593 446 211
3.7 7.14 2.6 70 37 35
5.3 8.15 12.3 99 55 71
1.6 8.82 3.8 80 51 52
4.6 10.16 8.4 831 581 629
7.8 12.07 52.4 157 115 76
1.3 8.92 2.2 56 40 14
6.6 13.95 15.6 356 308 182
6.2 10.15 16.4 568 452 371
5 10.33 21.2 266 181 149
3 11.2 7 130 95 56
5 7.78 20.9 489 391 329
4.3 7.65 16.4 318 265 314
3.5 8.03 24.3 97 65 55
5.6 8.95 18.9 147 53 148
4.2 9 14.6 72 61 38
3.1 9.41 20.6 29 20 22
3.7 7.58 20.8 97 59 79
4.8 12.01 10.8 298 237 115
4.5 9.61 6.9 487 404 220
5.4 11.18 60.5 640 399 360
4.5 6.7 13 76 51 79
3.9 10.73 19.3 445 374 345
2.7 8.34 8.1 107 82 54
5.7 11.2 34.5 180 134 151
4.3 8.3 6.8 167 105 59
6.5 19.56 17.2 306 273 172
6.3 9.74 11.4 221 170 172
4.4 7.7 12.2 129 85 136
4.4 8.88 14.1 237 165 182
2.9 10.79 2.6 461 320 196
2.9 10.8 1.6 130 69 62
3.7 8.58 7.4 304 248 218
6.4 11.62 25.5 133 113 101
3.8 8.66 6.8 246 178 177
4.5 10.05 36.7 184 144 151
4.4 11.65 18.6 248 217 189
2.7 7.14 13.1 92 40 50
4.2 8.88 10.1 305 238 197
4.5 9.44 10.9 297 230 263
2.9 8.9 12.7 52 37 35
4.3 9.42 24.8 508 421 528
4.6 7.84 7.1 60 50 45
