"Y" "X1" "X2" "X3" "X4" "X5"
4.1 10.47 5.7 196 168 153
6.4 11.62 25.5 133 113 101
2 8.93 6.2 95 59 56
4.6 9.68 16.7 186 151 129
2.7 8.34 8.1 107 82 54
2.6 9.76 6.9 64 47 55
4.3 9.89 11.8 190 141 112
5.5 10.9 10.6 593 446 211
5.6 10.12 14.9 362 313 264
1.3 8.16 1.9 73 49 21
4.3 9.23 11.6 620 413 420
4.8 9.36 18.3 165 127 158
4.1 7.13 9 279 207 241
5.3 9.77 15.7 154 123 148
4.6 10.16 8.4 831 581 629
5.5 7.63 11.6 197 109 110
3.7 7.14 2.6 70 37 35
5.8 9.5 42 98 68 46
4.9 9.89 17.7 167 113 106
4.4 9.66 9.9 83 66 95
3.5 8.03 24.3 97 65 55
2.9 10.8 1.6 130 69 62
6.6 13.95 15.6 356 308 182
4.1 9.05 20.5 195 127 112
5.5 8.37 15.1 115 96 88
4.3 8.67 24.4 182 130 118
3 11.2 7 130 95 56
4.4 11.65 18.6 248 217 189
4.8 10.24 36.3 195 163 170
4.5 6.7 13 76 51 79
4.2 7.53 23.1 95 47 49
5.6 11.48 20.3 252 207 251
4.9 11.07 28.5 768 591 656
4.4 8.88 14.1 237 165 182
5.7 11.8 9.1 571 441 469
3.9 11.15 7.7 281 217 199
7.6 11.41 16.6 535 330 273
6.2 10.15 16.4 568 452 371
3.4 8.45 12.9 235 143 124
3.2 8.19 10.8 176 156 88
4.3 9.42 24.8 508 421 528
4.6 7.84 7.1 60 50 45
7.7 12.78 46 322 252 349
5.6 8.95 18.9 147 53 148
4.3 7.65 16.4 318 265 314
6.3 9.74 11.4 221 170 172
3.8 8.66 6.8 246 178 177
6.3 8.84 29.6 85 59 66
4.7 10.72 23.2 113 90 107
5.4 7.93 7.5 68 42 49
2.9 8.86 9.5 100 65 53
3.1 9.41 20.6 29 20 22
1.7 8.09 7.6 92 61 61
5.5 11.08 18.6 387 326 405
3.5 7.94 6.2 195 139 116
5 9.78 17.6 270 240 198
4.5 10.05 36.7 184 144 151
7.8 12.07 52.4 157 115 76
5.1 9.76 21.9 150 147 106
4.5 9.31 30.2 170 124 173
3.9 8.28 12 546 413 436
5.2 9.53 15 298 241 193
3.7 7.58 20.8 97 59 79
1.4 7.14 4.1 115 90 19
1.3 8.92 2.2 56 40 14
4.3 8.3 6.8 167 105 59
2.9 8.9 12.7 52 37 35
5.4 11.18 60.5 640 399 360
4.9 10.23 9.9 752 595 446
5.7 11.2 34.5 180 134 151
4.8 9.84 12 600 468 497
4.1 9.35 15.9 833 547 519
4.5 9.61 6.9 487 404 220
