"Y" "X1" "X2" "X3" "X4" "X5"
4.3 9.42 24.8 508 421 528
5.3 8.15 12.3 99 55 71
4.5 9.31 30.2 170 124 173
5.1 9.76 21.9 150 147 106
6.4 11.62 25.5 133 113 101
4.7 8.77 5.2 143 85 87
4.2 8.88 10.1 305 238 197
2.8 9.97 16.5 90 69 42
3.9 8.28 12 546 413 436
5.8 11.41 23.8 424 359 335
2.1 8.02 3.8 91 44 32
3.7 8.48 12.1 166 145 118
4.5 9.61 6.9 487 404 220
4.2 9 14.6 72 61 38
5 10.33 21.2 266 181 149
5.6 8.95 18.9 147 53 148
4.9 11.07 28.5 768 591 656
4 9.2 17.5 298 244 236
5.5 8.37 15.1 115 96 88
6.6 13.95 15.6 356 308 182
4.5 11.46 15.6 191 153 132
4.8 9.84 12 600 468 497
3.7 7.14 2.6 70 37 35
4.3 7.65 16.4 318 265 314
3.7 7.58 20.8 97 59 79
3.4 10.42 8 119 67 64
4.8 9.36 18.3 165 127 158
2.7 7.14 13.1 92 40 50
4.3 8.3 6.8 167 105 59
3.2 8.19 10.8 176 156 88
5.4 7.93 7.5 68 42 49
4.9 10.23 9.9 752 595 446
4.4 11.65 18.6 248 217 189
3.8 8.66 6.8 246 178 177
4.1 9.05 20.5 195 127 112
1.6 8.82 3.8 80 51 52
3.1 9.41 20.6 29 20 22
3.5 7.94 6.2 195 139 116
5.8 9.5 42 98 68 46
4.4 9.66 9.9 83 66 95
4.3 10.39 14 353 223 200
3.4 8.45 12.9 235 143 124
1.3 8.16 1.9 73 49 21
2 8.93 6.2 95 59 56
5.4 11.18 60.5 640 399 360
1.4 7.14 4.1 115 90 19
4.8 10.24 36.3 195 163 170
2.5 8.54 27 98 57 75
2.9 8.86 9.5 100 65 53
5.3 11.77 17.3 196 164 165
7.7 12.78 46 322 252 349
5.6 10.12 14.9 362 313 264
4.2 9.06 6.9 134 103 125
5.1 10.3 27.8 175 113 73
1.7 8.09 7.6 92 61 61
5.5 7.63 11.6 197 109 110
4.7 10.72 23.2 113 90 107
5.7 11.8 9.1 571 441 469
3.7 8.58 7.4 304 248 218
7.6 11.41 16.6 535 330 273
5.5 10.9 10.6 593 446 211
4.8 12.01 10.8 298 237 115
5.2 9.53 15 298 241 193
5 9.78 17.6 270 240 198
3.1 8.63 8.4 76 39 44
4.6 7.84 7.1 60 50 45
4.5 9.44 10.9 297 230 263
2.7 8.34 8.1 107 82 54
4.5 6.7 13 76 51 79
