"Y" "X1" "X2" "X3" "X4" "X5"
6.6 13.95 15.6 356 308 182
5.3 8.15 12.3 99 55 71
4.1 7.13 9 279 207 241
2.9 8.86 9.5 100 65 53
4.2 7.39 14.6 72 38 67
4.4 7.7 12.2 129 85 136
5.1 10.3 27.8 175 113 73
5.6 8.95 18.9 147 53 148
6.3 9.74 11.4 221 170 172
2.7 8.34 8.1 107 82 54
6.3 8.84 29.6 85 59 66
1.6 8.82 3.8 80 51 52
5.2 9.84 17.7 210 200 239
4.9 11.07 28.5 768 591 656
3.4 10.42 8 119 67 64
2.3 7.95 4.6 163 128 93
2 7.08 12.3 87 52 57
3 11.2 7 130 95 56
5 9.78 17.6 270 240 198
5.5 7.63 11.6 197 109 110
2 8.93 6.2 95 59 56
5.8 11.41 23.8 424 359 335
3.5 7.94 6.2 195 139 116
5.5 8.37 15.1 115 96 88
2.9 7.91 11.9 477 349 188
4.5 11.46 15.6 191 153 132
4 9.2 17.5 298 244 236
4.4 11.65 18.6 248 217 189
5.9 17.94 26.4 835 791 407
3.5 8.03 24.3 97 65 55
4.6 10.16 8.4 831 581 629
4.3 7.65 16.4 318 265 314
3.1 9.41 20.6 29 20 22
3.9 8.28 12 546 413 436
3.9 10.73 19.3 445 374 345
4.2 7.53 23.1 95 47 49
2.5 8.54 27 98 57 75
1.3 8.16 1.9 73 49 21
5.7 11.2 34.5 180 134 151
7.6 11.41 16.6 535 330 273
3.2 8.19 10.8 176 156 88
4.1 9.05 20.5 195 127 112
4.3 8.3 6.8 167 105 59
5.6 11.48 20.3 252 207 251
1.4 7.14 4.1 115 90 19
4.5 8.28 26 108 84 73
3.1 8.63 8.4 76 39 44
4.9 10.23 9.9 752 595 446
5.7 11.8 9.1 571 441 469
7.8 12.07 52.4 157 115 76
2.7 7.14 13.1 92 40 50
1.8 7.67 2.5 106 93 35
5.7 11.18 18.8 595 546 392
6.4 11.62 25.5 133 113 101
5.6 10.12 14.9 362 313 264
1.7 8.09 7.6 92 61 61
4.3 9.23 11.6 620 413 420
4.9 9.89 17.7 167 113 106
3.7 7.14 2.6 70 37 35
5.3 9.77 15.7 154 123 148
4.5 10.05 36.7 184 144 151
5.5 10.9 10.6 593 446 211
4.3 9.42 24.8 508 421 528
4.2 8.88 10.1 305 238 197
4.6 7.84 7.1 60 50 45
2.1 8.02 3.8 91 44 32
5.3 11.77 17.3 196 164 165
4.8 10.24 36.3 195 163 170
3.9 11.15 7.7 281 217 199
2.9 10.8 1.6 130 69 62
4.1 9.35 15.9 833 547 519
4.3 9.89 11.8 190 141 112
4.5 9.44 10.9 297 230 263
4.4 8.88 14.1 237 165 182
5 7.78 20.9 489 391 329
