"Y" "X1" "X2" "X3" "X4" "X5"
4.8 9.36 18.3 165 127 158
4.1 7.13 9 279 207 241
3.1 9.41 20.6 29 20 22
3.2 8.19 10.8 176 156 88
1.3 8.16 1.9 73 49 21
5.7 11.8 9.1 571 441 469
4.6 7.84 7.1 60 50 45
4.5 11.46 15.6 191 153 132
2.9 10.8 1.6 130 69 62
4.8 9.84 12 600 468 497
4.1 9.05 20.5 195 127 112
1.6 8.82 3.8 80 51 52
5.6 10.12 14.9 362 313 264
6.6 13.95 15.6 356 308 182
2.7 7.14 13.1 92 40 50
5.1 10.3 27.8 175 113 73
4.3 8.3 6.8 167 105 59
4.3 9.89 11.8 190 141 112
4.4 9.66 9.9 83 66 95
3.5 7.94 6.2 195 139 116
4.5 9.61 6.9 487 404 220
4.8 12.01 10.8 298 237 115
3.9 11.15 7.7 281 217 199
4.5 9.31 30.2 170 124 173
4.3 9.23 11.6 620 413 420
6.5 19.56 17.2 306 273 172
5 11.03 19.7 318 270 335
6.2 10.15 16.4 568 452 371
5.1 9.76 21.9 150 147 106
2.9 8.9 12.7 52 37 35
4.7 8.77 5.2 143 85 87
2.3 7.95 4.6 163 128 93
3.4 10.42 8 119 67 64
3.7 7.14 2.6 70 37 35
3.1 8.63 8.4 76 39 44
4.3 9.42 24.8 508 421 528
2.9 7.91 11.9 477 349 188
3.4 8.45 12.9 235 143 124
6.4 11.62 25.5 133 113 101
7.6 11.41 16.6 535 330 273
1.7 8.09 7.6 92 61 61
4.2 9.06 6.9 134 103 125
2 8.93 6.2 95 59 56
3.9 10.73 19.3 445 374 345
1.8 7.67 2.5 106 93 35
5 9.78 17.6 270 240 198
4.6 9.68 16.7 186 151 129
5.6 11.48 20.3 252 207 251
5.3 8.15 12.3 99 55 71
6.1 13.59 24.2 312 258 169
3 11.2 7 130 95 56
3.5 8.03 24.3 97 65 55
6.3 9.74 11.4 221 170 172
4.2 7.53 23.1 95 47 49
4.6 10.16 8.4 831 581 629
3.7 7.58 20.8 97 59 79
5.4 7.93 7.5 68 42 49
4.5 6.7 13 76 51 79
5 10.33 21.2 266 181 149
5.5 8.37 15.1 115 96 88
4.4 8.88 14.1 237 165 182
5.3 11.77 17.3 196 164 165
4.4 10.02 8.3 265 191 202
2 7.08 12.3 87 52 57
4.8 10.24 36.3 195 163 170
2.7 8.34 8.1 107 82 54
5.2 9.53 15 298 241 193
