"Y" "X1" "X2" "X3" "X4" "X5"
4.3 9.42 24.8 508 421 528
5.7 11.18 18.8 595 546 392
2 8.93 6.2 95 59 56
5.8 11.41 23.8 424 359 335
5 10.33 21.2 266 181 149
5.5 10.9 10.6 593 446 211
4.7 10.72 23.2 113 90 107
3.5 8.03 24.3 97 65 55
4.3 10.39 14 353 223 200
1.7 8.09 7.6 92 61 61
4.2 7.39 14.6 72 38 67
4.8 9.36 18.3 165 127 158
4.5 9.61 6.9 487 404 220
4.4 8.88 14.1 237 165 182
4.1 7.13 9 279 207 241
1.3 8.92 2.2 56 40 14
7.6 11.41 16.6 535 330 273
4.4 11.65 18.6 248 217 189
5.3 11.77 17.3 196 164 165
4.4 7.7 12.2 129 85 136
1.8 7.67 2.5 106 93 35
4.1 10.47 5.7 196 168 153
4.2 8.88 10.1 305 238 197
4.3 8.3 6.8 167 105 59
4.1 9.05 20.5 195 127 112
5.4 7.93 7.5 68 42 49
3.2 8.19 10.8 176 156 88
6.6 13.95 15.6 356 308 182
2.9 8.9 12.7 52 37 35
3 11.2 7 130 95 56
5.3 9.77 15.7 154 123 148
4.3 9.23 11.6 620 413 420
5 9.78 17.6 270 240 198
5.8 9.5 42 98 68 46
4.8 10.24 36.3 195 163 170
4.4 10.02 8.3 265 191 202
6.3 8.84 29.6 85 59 66
5.6 10.12 14.9 362 313 264
2.9 8.86 9.5 100 65 53
3.9 8.28 12 546 413 436
2.5 8.54 27 98 57 75
4.4 9.66 9.9 83 66 95
5.4 11.18 60.5 640 399 360
3.7 8.48 12.1 166 145 118
3.9 11.15 7.7 281 217 199
4.3 9.89 11.8 190 141 112
4.5 9.31 30.2 170 124 173
2.6 9.76 6.9 64 47 55
2.9 10.79 2.6 461 320 196
5.5 7.63 11.6 197 109 110
4.3 8.67 24.4 182 130 118
6.4 11.62 25.5 133 113 101
5.7 11.2 34.5 180 134 151
4.6 7.84 7.1 60 50 45
5.9 17.94 26.4 835 791 407
2.9 10.8 1.6 130 69 62
4.5 10.05 36.7 184 144 151
3.7 8.58 7.4 304 248 218
4.5 9.44 10.9 297 230 263
5.3 8.15 12.3 99 55 71
5 11.03 19.7 318 270 335
4.8 12.01 10.8 298 237 115
4.2 9 14.6 72 61 38
2.8 9.97 16.5 90 69 42
5.2 9.53 15 298 241 193
2.7 8.34 8.1 107 82 54
4.2 9.06 6.9 134 103 125
5.5 11.08 18.6 387 326 405
3.7 7.14 2.6 70 37 35
