"Y" "X1" "X2" "X3" "X4" "X5"
2.9 10.8 1.6 130 69 62
3.5 8.03 24.3 97 65 55
5.5 10.9 10.6 593 446 211
5.3 11.77 17.3 196 164 165
2.3 7.95 4.6 163 128 93
4.4 9.66 9.9 83 66 95
3.9 11.15 7.7 281 217 199
6.2 10.15 16.4 568 452 371
1.6 8.82 3.8 80 51 52
3.8 8.66 6.8 246 178 177
4.2 7.39 14.6 72 38 67
5.3 9.77 15.7 154 123 148
3.5 7.94 6.2 195 139 116
4.2 7.53 23.1 95 47 49
4.9 10.23 9.9 752 595 446
6.4 11.62 25.5 133 113 101
5.2 9.84 17.7 210 200 239
4.4 7.7 12.2 129 85 136
4.1 7.13 9 279 207 241
3.7 7.58 20.8 97 59 79
5.6 8.95 18.9 147 53 148
2.9 8.9 12.7 52 37 35
3.7 8.58 7.4 304 248 218
1.7 8.09 7.6 92 61 61
5.5 7.63 11.6 197 109 110
5.2 9.53 15 298 241 193
3.7 7.14 2.6 70 37 35
4.7 8.77 5.2 143 85 87
5.7 11.2 34.5 180 134 151
2.9 8.86 9.5 100 65 53
2.9 7.91 11.9 477 349 188
4.3 9.42 24.8 508 421 528
2.7 7.14 13.1 92 40 50
3.1 8.63 8.4 76 39 44
1.3 8.92 2.2 56 40 14
3 11.2 7 130 95 56
4.8 10.24 36.3 195 163 170
5.6 11.48 20.3 252 207 251
5.8 9.5 42 98 68 46
4.4 11.65 18.6 248 217 189
4.8 12.01 10.8 298 237 115
4.5 6.7 13 76 51 79
3.7 8.48 12.1 166 145 118
5.3 8.15 12.3 99 55 71
3.4 8.45 12.9 235 143 124
5.7 11.8 9.1 571 441 469
4.5 9.61 6.9 487 404 220
4.8 9.84 12 600 468 497
4.1 10.47 5.7 196 168 153
1.4 7.14 4.1 115 90 19
5 9.78 17.6 270 240 198
4.6 9.68 16.7 186 151 129
5.4 11.18 60.5 640 399 360
5.5 11.08 18.6 387 326 405
4.1 9.35 15.9 833 547 519
4.5 10.05 36.7 184 144 151
5.5 8.37 15.1 115 96 88
5.4 7.93 7.5 68 42 49
5.9 17.94 26.4 835 791 407
5.6 10.12 14.9 362 313 264
4.3 9.23 11.6 620 413 420
2 7.08 12.3 87 52 57
6.1 13.59 24.2 312 258 169
4.4 10.02 8.3 265 191 202
4.2 8.88 10.1 305 238 197
1.3 8.16 1.9 73 49 21
2.8 9.97 16.5 90 69 42
4.2 9 14.6 72 61 38
4.2 9.06 6.9 134 103 125
