"Y" "X1" "X2" "X3" "X4" "X5"
2.9 10.8 1.6 130 69 62
4.4 11.65 18.6 248 217 189
5.6 8.95 18.9 147 53 148
4.8 10.24 36.3 195 163 170
3.1 9.41 20.6 29 20 22
3.7 8.58 7.4 304 248 218
7.7 12.78 46 322 252 349
5.5 11.08 18.6 387 326 405
5.8 11.41 23.8 424 359 335
3.5 7.94 6.2 195 139 116
4.8 9.36 18.3 165 127 158
5.7 11.8 9.1 571 441 469
5.2 9.53 15 298 241 193
3.4 10.42 8 119 67 64
4.8 9.84 12 600 468 497
6.6 13.95 15.6 356 308 182
4.3 8.67 24.4 182 130 118
4.5 9.61 6.9 487 404 220
4.7 10.72 23.2 113 90 107
5.5 8.37 15.1 115 96 88
5.1 9.76 21.9 150 147 106
5.9 17.94 26.4 835 791 407
3.8 8.66 6.8 246 178 177
5.7 11.18 18.8 595 546 392
6.4 11.62 25.5 133 113 101
2.8 9.97 16.5 90 69 42
6.3 9.74 11.4 221 170 172
4.1 9.05 20.5 195 127 112
3.7 8.48 12.1 166 145 118
2.7 7.14 13.1 92 40 50
4.5 6.7 13 76 51 79
7.6 11.41 16.6 535 330 273
3.9 10.73 19.3 445 374 345
3.7 7.14 2.6 70 37 35
2.9 7.91 11.9 477 349 188
5 10.33 21.2 266 181 149
5.5 10.9 10.6 593 446 211
4.3 7.65 16.4 318 265 314
4.4 9.66 9.9 83 66 95
3.2 8.19 10.8 176 156 88
5.8 9.5 42 98 68 46
6.2 10.15 16.4 568 452 371
4.2 7.39 14.6 72 38 67
4.5 8.28 26 108 84 73
4.8 12.01 10.8 298 237 115
2.5 8.54 27 98 57 75
6.5 19.56 17.2 306 273 172
4.9 10.23 9.9 752 595 446
5.1 10.3 27.8 175 113 73
7.8 12.07 52.4 157 115 76
4.6 9.68 16.7 186 151 129
4.3 8.3 6.8 167 105 59
4.9 11.07 28.5 768 591 656
1.3 8.92 2.2 56 40 14
1.7 8.09 7.6 92 61 61
2.9 8.9 12.7 52 37 35
5 7.78 20.9 489 391 329
4.5 9.31 30.2 170 124 173
3 11.2 7 130 95 56
1.6 8.82 3.8 80 51 52
4.4 7.7 12.2 129 85 136
6.3 8.84 29.6 85 59 66
5.3 11.77 17.3 196 164 165
5.6 11.48 20.3 252 207 251
5 11.03 19.7 318 270 335
5.4 7.93 7.5 68 42 49
5 9.78 17.6 270 240 198
3.9 8.28 12 546 413 436
