"Y" "X1" "X2" "X3" "X4" "X5"
5.7 11.2 34.5 180 134 151
3.7 8.48 12.1 166 145 118
4.7 8.77 5.2 143 85 87
2.8 9.97 16.5 90 69 42
5 7.78 20.9 489 391 329
5.4 11.18 60.5 640 399 360
2.7 8.34 8.1 107 82 54
1.3 8.92 2.2 56 40 14
6.2 10.15 16.4 568 452 371
5 11.03 19.7 318 270 335
4.2 9.06 6.9 134 103 125
4.4 8.88 14.1 237 165 182
5.3 9.77 15.7 154 123 148
1.3 8.16 1.9 73 49 21
3.2 8.19 10.8 176 156 88
2.9 10.8 1.6 130 69 62
6.6 13.95 15.6 356 308 182
5.3 11.77 17.3 196 164 165
5.6 11.48 20.3 252 207 251
4.3 9.42 24.8 508 421 528
2 8.93 6.2 95 59 56
5.1 9.76 21.9 150 147 106
3.4 8.45 12.9 235 143 124
3.8 8.66 6.8 246 178 177
5.6 10.12 14.9 362 313 264
4.6 9.68 16.7 186 151 129
4.3 8.67 24.4 182 130 118
5.1 10.3 27.8 175 113 73
5.5 10.9 10.6 593 446 211
4.5 8.28 26 108 84 73
1.8 7.67 2.5 106 93 35
6.5 19.56 17.2 306 273 172
2.9 10.79 2.6 461 320 196
4.1 7.13 9 279 207 241
4.8 12.01 10.8 298 237 115
6.4 11.62 25.5 133 113 101
5.7 11.8 9.1 571 441 469
5.4 7.93 7.5 68 42 49
4.2 7.53 23.1 95 47 49
3.1 9.41 20.6 29 20 22
5.5 7.63 11.6 197 109 110
1.7 8.09 7.6 92 61 61
2.6 9.76 6.9 64 47 55
4.2 8.88 10.1 305 238 197
4.5 11.46 15.6 191 153 132
4.9 10.23 9.9 752 595 446
4.9 11.07 28.5 768 591 656
7.6 11.41 16.6 535 330 273
4.6 10.16 8.4 831 581 629
4.3 7.65 16.4 318 265 314
4.1 9.35 15.9 833 547 519
4.5 9.31 30.2 170 124 173
2.3 7.95 4.6 163 128 93
4.9 9.89 17.7 167 113 106
4.5 9.61 6.9 487 404 220
2.9 7.91 11.9 477 349 188
5.7 11.18 18.8 595 546 392
1.4 7.14 4.1 115 90 19
4.1 9.05 20.5 195 127 112
2.9 8.86 9.5 100 65 53
4.2 7.39 14.6 72 38 67
4.5 6.7 13 76 51 79
2.7 7.14 13.1 92 40 50
2.9 8.9 12.7 52 37 35
2.1 8.02 3.8 91 44 32
3.9 10.73 19.3 445 374 345
5.2 9.53 15 298 241 193
3.7 7.58 20.8 97 59 79
5.8 9.5 42 98 68 46
4.3 10.39 14 353 223 200
5.5 8.37 15.1 115 96 88
6.1 13.59 24.2 312 258 169
5.5 11.08 18.6 387 326 405
