"Y" "X1" "X2" "X3" "X4" "X5"
4.4 8.88 14.1 237 165 182
6.6 13.95 15.6 356 308 182
5.2 9.84 17.7 210 200 239
4.5 9.44 10.9 297 230 263
2 8.93 6.2 95 59 56
3.5 7.94 6.2 195 139 116
4.5 11.46 15.6 191 153 132
2.9 10.8 1.6 130 69 62
4.2 7.53 23.1 95 47 49
6.2 10.15 16.4 568 452 371
1.8 7.67 2.5 106 93 35
1.3 8.92 2.2 56 40 14
4.9 10.23 9.9 752 595 446
5.2 9.53 15 298 241 193
3.7 7.14 2.6 70 37 35
2 7.08 12.3 87 52 57
4.8 10.24 36.3 195 163 170
4.4 10.02 8.3 265 191 202
6.1 13.59 24.2 312 258 169
3.5 8.03 24.3 97 65 55
2.5 8.54 27 98 57 75
3.1 9.41 20.6 29 20 22
3.9 10.73 19.3 445 374 345
7.8 12.07 52.4 157 115 76
5.5 10.9 10.6 593 446 211
4.6 10.16 8.4 831 581 629
5.1 10.3 27.8 175 113 73
2.9 8.86 9.5 100 65 53
5.7 11.8 9.1 571 441 469
4.4 9.66 9.9 83 66 95
5.3 9.77 15.7 154 123 148
5.4 7.93 7.5 68 42 49
4.9 11.07 28.5 768 591 656
3.8 8.66 6.8 246 178 177
4.1 10.47 5.7 196 168 153
1.4 7.14 4.1 115 90 19
4.5 8.28 26 108 84 73
1.3 8.16 1.9 73 49 21
4.7 8.77 5.2 143 85 87
5.6 10.12 14.9 362 313 264
4.5 9.61 6.9 487 404 220
5 11.03 19.7 318 270 335
5 7.78 20.9 489 391 329
4.7 10.72 23.2 113 90 107
4.2 9 14.6 72 61 38
4.2 8.88 10.1 305 238 197
4.5 6.7 13 76 51 79
5.6 11.48 20.3 252 207 251
4.8 9.84 12 600 468 497
1.7 8.09 7.6 92 61 61
2.7 8.34 8.1 107 82 54
6.4 11.62 25.5 133 113 101
3.4 8.45 12.9 235 143 124
5.5 8.37 15.1 115 96 88
2.7 7.14 13.1 92 40 50
3.4 10.42 8 119 67 64
5.7 11.18 18.8 595 546 392
2.6 9.76 6.9 64 47 55
5.1 9.76 21.9 150 147 106
4.3 8.3 6.8 167 105 59
4 9.2 17.5 298 244 236
7.6 11.41 16.6 535 330 273
4.8 12.01 10.8 298 237 115
2.1 8.02 3.8 91 44 32
4.1 9.05 20.5 195 127 112
5.6 8.95 18.9 147 53 148
2.8 9.97 16.5 90 69 42
2.9 7.91 11.9 477 349 188
4.3 7.65 16.4 318 265 314
5.3 11.77 17.3 196 164 165
4.1 9.35 15.9 833 547 519
5 10.33 21.2 266 181 149
3.1 8.63 8.4 76 39 44
3.7 7.58 20.8 97 59 79
4.3 9.42 24.8 508 421 528
