"Y" "X1" "X2" "X3" "X4" "X5"
2.1 8.02 3.8 91 44 32
1.4 7.14 4.1 115 90 19
4.4 11.65 18.6 248 217 189
1.3 8.92 2.2 56 40 14
2 7.08 12.3 87 52 57
3.9 10.73 19.3 445 374 345
4.5 8.28 26 108 84 73
3.1 8.63 8.4 76 39 44
3.7 7.58 20.8 97 59 79
5.3 8.15 12.3 99 55 71
2 8.93 6.2 95 59 56
2.9 8.86 9.5 100 65 53
3.4 10.42 8 119 67 64
4.6 10.16 8.4 831 581 629
4.5 10.05 36.7 184 144 151
5.6 10.12 14.9 362 313 264
4.5 9.44 10.9 297 230 263
5.7 11.18 18.8 595 546 392
4.9 10.23 9.9 752 595 446
5.4 11.18 60.5 640 399 360
4.2 9 14.6 72 61 38
4.4 10.02 8.3 265 191 202
5.5 7.63 11.6 197 109 110
4.7 8.77 5.2 143 85 87
4.3 8.67 24.4 182 130 118
5.3 11.77 17.3 196 164 165
4.8 10.24 36.3 195 163 170
4.8 9.84 12 600 468 497
1.6 8.82 3.8 80 51 52
5.3 9.77 15.7 154 123 148
5.5 10.9 10.6 593 446 211
4.6 7.84 7.1 60 50 45
6.6 13.95 15.6 356 308 182
2.5 8.54 27 98 57 75
4.3 10.39 14 353 223 200
5.6 11.48 20.3 252 207 251
4.2 7.39 14.6 72 38 67
4.9 9.89 17.7 167 113 106
5.8 9.5 42 98 68 46
6.3 9.74 11.4 221 170 172
6.4 11.62 25.5 133 113 101
5.7 11.2 34.5 180 134 151
2.9 8.9 12.7 52 37 35
5.6 8.95 18.9 147 53 148
3.5 8.03 24.3 97 65 55
3.7 8.58 7.4 304 248 218
3.9 11.15 7.7 281 217 199
3.9 8.28 12 546 413 436
4.5 9.31 30.2 170 124 173
4.3 8.3 6.8 167 105 59
3.2 8.19 10.8 176 156 88
4.3 9.23 11.6 620 413 420
4.8 9.36 18.3 165 127 158
6.3 8.84 29.6 85 59 66
4.9 11.07 28.5 768 591 656
4.2 7.53 23.1 95 47 49
2.9 10.79 2.6 461 320 196
2.9 10.8 1.6 130 69 62
5.5 11.08 18.6 387 326 405
5.8 11.41 23.8 424 359 335
4.6 9.68 16.7 186 151 129
5.7 11.8 9.1 571 441 469
5.5 8.37 15.1 115 96 88
4.8 12.01 10.8 298 237 115
4.2 8.88 10.1 305 238 197
3.5 7.94 6.2 195 139 116
2.8 9.97 16.5 90 69 42
2.6 9.76 6.9 64 47 55
5.1 9.76 21.9 150 147 106
5.2 9.84 17.7 210 200 239
