"Y" "X1" "X2" "X3" "X4" "X5"
5.1 10.3 27.8 175 113 73
5.1 9.76 21.9 150 147 106
5.6 8.95 18.9 147 53 148
5.3 9.77 15.7 154 123 148
3.4 10.42 8 119 67 64
3.5 8.03 24.3 97 65 55
3.7 8.48 12.1 166 145 118
2.3 7.95 4.6 163 128 93
4.4 8.88 14.1 237 165 182
1.4 7.14 4.1 115 90 19
3.5 7.94 6.2 195 139 116
4.2 8.88 10.1 305 238 197
4.2 9.06 6.9 134 103 125
6.2 10.15 16.4 568 452 371
5.4 11.18 60.5 640 399 360
4.3 8.3 6.8 167 105 59
1.8 7.67 2.5 106 93 35
3.8 8.66 6.8 246 178 177
2.7 7.14 13.1 92 40 50
4.3 10.39 14 353 223 200
5.3 11.77 17.3 196 164 165
2.9 7.91 11.9 477 349 188
4.3 7.65 16.4 318 265 314
5 7.78 20.9 489 391 329
6.4 11.62 25.5 133 113 101
5.5 10.9 10.6 593 446 211
7.7 12.78 46 322 252 349
4.9 11.07 28.5 768 591 656
4.3 8.67 24.4 182 130 118
4.6 10.16 8.4 831 581 629
5 9.78 17.6 270 240 198
2.7 8.34 8.1 107 82 54
4.7 10.72 23.2 113 90 107
6.1 13.59 24.2 312 258 169
3.1 9.41 20.6 29 20 22
3.9 10.73 19.3 445 374 345
4.8 10.24 36.3 195 163 170
4.8 12.01 10.8 298 237 115
2.9 8.86 9.5 100 65 53
3.2 8.19 10.8 176 156 88
2.9 10.79 2.6 461 320 196
3.7 7.14 2.6 70 37 35
4.5 10.05 36.7 184 144 151
4.9 9.89 17.7 167 113 106
3.1 8.63 8.4 76 39 44
4.3 9.89 11.8 190 141 112
4.6 9.68 16.7 186 151 129
2 8.93 6.2 95 59 56
4.5 11.46 15.6 191 153 132
3.4 8.45 12.9 235 143 124
4.5 9.44 10.9 297 230 263
4.8 9.84 12 600 468 497
1.3 8.16 1.9 73 49 21
4.5 9.61 6.9 487 404 220
4.4 7.7 12.2 129 85 136
2.8 9.97 16.5 90 69 42
4.1 7.13 9 279 207 241
5.5 7.63 11.6 197 109 110
3.9 8.28 12 546 413 436
5.8 9.5 42 98 68 46
4.1 9.35 15.9 833 547 519
4.2 9 14.6 72 61 38
4.3 9.23 11.6 620 413 420
7.6 11.41 16.6 535 330 273
5.5 8.37 15.1 115 96 88
4.5 9.31 30.2 170 124 173
5 11.03 19.7 318 270 335
5.2 9.84 17.7 210 200 239
6.6 13.95 15.6 356 308 182
