"Y" "X1" "X2" "X3" "X4" "X5"
4.2 9.06 6.9 134 103 125
4.4 8.88 14.1 237 165 182
4 9.2 17.5 298 244 236
6.4 11.62 25.5 133 113 101
3.7 8.58 7.4 304 248 218
6.3 9.74 11.4 221 170 172
4.8 9.84 12 600 468 497
4.6 9.68 16.7 186 151 129
4.5 6.7 13 76 51 79
7.8 12.07 52.4 157 115 76
4.4 10.02 8.3 265 191 202
3.1 8.63 8.4 76 39 44
3.7 7.58 20.8 97 59 79
2.1 8.02 3.8 91 44 32
2.7 8.34 8.1 107 82 54
1.3 8.92 2.2 56 40 14
5.5 8.37 15.1 115 96 88
4.5 11.46 15.6 191 153 132
5.3 11.77 17.3 196 164 165
1.3 8.16 1.9 73 49 21
4.1 9.05 20.5 195 127 112
2.5 8.54 27 98 57 75
5.6 11.48 20.3 252 207 251
5.8 9.5 42 98 68 46
5.7 11.8 9.1 571 441 469
4.1 10.47 5.7 196 168 153
4.5 9.61 6.9 487 404 220
1.7 8.09 7.6 92 61 61
4.2 9 14.6 72 61 38
5.6 10.12 14.9 362 313 264
5 10.33 21.2 266 181 149
4.5 9.44 10.9 297 230 263
6.6 13.95 15.6 356 308 182
2.9 8.9 12.7 52 37 35
5.6 8.95 18.9 147 53 148
2.8 9.97 16.5 90 69 42
4.1 7.13 9 279 207 241
1.4 7.14 4.1 115 90 19
4.3 9.89 11.8 190 141 112
5.7 11.18 18.8 595 546 392
5.5 7.63 11.6 197 109 110
2.7 7.14 13.1 92 40 50
3.1 9.41 20.6 29 20 22
5.9 17.94 26.4 835 791 407
3.5 8.03 24.3 97 65 55
5.3 9.77 15.7 154 123 148
4.2 7.39 14.6 72 38 67
2.3 7.95 4.6 163 128 93
3 11.2 7 130 95 56
4.3 9.42 24.8 508 421 528
7.7 12.78 46 322 252 349
2.6 9.76 6.9 64 47 55
4.3 9.23 11.6 620 413 420
5 11.03 19.7 318 270 335
4.4 7.7 12.2 129 85 136
5.4 7.93 7.5 68 42 49
4.6 10.16 8.4 831 581 629
5.3 8.15 12.3 99 55 71
4.2 7.53 23.1 95 47 49
5 7.78 20.9 489 391 329
4.3 10.39 14 353 223 200
4.8 12.01 10.8 298 237 115
3.7 7.14 2.6 70 37 35
3.5 7.94 6.2 195 139 116
4.8 10.24 36.3 195 163 170
6.1 13.59 24.2 312 258 169
2 8.93 6.2 95 59 56
